Show name:,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,
Stand name:,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,
Stand number:,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,
Venue:,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,
Venue address:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Build start:,DD/MM/YY,Build finishes:,DD/MM/YY,,,,,,,
Show starts:,DD/MM/YY,Show finishes:,DD/MM/YY,,,,,,,
Derig starts:,DD/MM/YY,Derig finishes:,DD/MM/YY,,,,,,,
,,,,,,,,,,
Written by:,,,Signed:,,,,,,,
,,,,,,,,,,
Onsite lead:,,,Signed:,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Location risks:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Show risks:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Info received:,Organiser RAMS,Y/N,Location plans,Y/N,,,,,,
,Known site,Y/N,Other RAMS,Y/N,,,,,,
Notes:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"The purpose of Risk Assessment and control measures are to reduce the residual risk to as low as possible ""acceptable levels"".",,,,,,,,,,
1 to 6 = Acceptable Risk (L),"8 to 12 = With adequate controls, acceptable risk (M)",15 to 25 = Unacceptable Risk (H),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Hazards,Consequences,Who is at risk,Probability,Severity,Risk level,Controls,Probability,Severity,Risk level,L / M / H
Identify hazards in the halls/rooms and on the perimeter roads that could reasonably be expected to result in significant harm,"What could result from the hazard?
First aid injury – minor cuts sprains, bruises
RIDDOR 3-day injury – broken fingers, toes, sprained tendons or muscles, illness (tiredness, stress, gastric)
Serious injury – head injury, loss of consciousness, broken bones, dislocations, respiratory problems. Usually an injury from which full recovery is likely.
Death or very serious Injury to one person - Loss of limb, paralysis or life changing injury from which full recovery is unlikely.
Death or very serious injury to more than one person","Who might be harmed?

Staff/volunteers/members (S) Exhibitors (E) Contractors (C) Young/new inexperienced staff/volunteers/members (Y) Visitors (V) Others (O)",Probility of Hazard,Severity if it occurs,Probability X Severity = Risk Level,"Is the risk adequately controlled?
Consider hierarchy of controls
Eliminate Substitute Reduce Isolate Control PPE DisciplineDo the controls…………
Comply with industry/legal standards?
Represent best practice?
Reduce risk as far as is reasonably practicable?",Residual probability after controls,Residual severity after controls,Residual risk level after controls,Low / Medium / High residual risk levels
These control measures apply to all hazards in this risk assessment,Personal injury,"S, E, C, Y, O",5,3,15,"Appropriate PPE:
Footwear with steel or composite toes and midsoles (SBP rating upwards) to be worn at all times during rig and de-rig.
High vis vests to be worn during rig and de-rig at all times. The exception to this is when working in hotels and not in the vicinity of vehicles.
Hard hats to be worn when dictated by venue, health and safety representatives of the venue and/or organisers. The use of hard hats is compulsory when working at height and below others working at height.
Other safety
Follow venue safety rules
Follow eGuide guidance
Follow the g-guide as basic minimum
Proactively managed by project manager / lead",2,3,6,M
"Vehicles:
Moving vehicles and plant
Forklift truck
Fumes – vehicles, LPG, noxious substances","Impact injuries
Collision
Minor injury
Major injury","S, E, C, Y, O",3,4,12,"Use approved and competent staff/volunteers/members/volunteers/members and / or contractors
All drivers have full licences which are regularly checked
Abide by house (venue) traffic rules and traffic marshal’s instructions.
When reversing and/ or vision is restricted, a banks man must be used.
When using a mobile phone or radio onsite all staff/volunteers/members and contractors advised to move out of any walkways or roadways.
All engines to be turned off when vehicles idle. Avoid where possible taking vehicles into the building.
Proactively managed by project manager / lead",1,4,4,L
Manual Handling,"Injury from dropped loads
Muscular/skeletal problems
Slips trips and falls on a level surface
Falls on stairs and / or escalators","S, G, C, O",3,2,6,"Use approved and competent staff/volunteers/members/volunteers/members and / or contractors
Try to avoid lifting, if unavoidable, use mechanical means where possible, if not use wheeled flight cases and / or trolleys. Load any items where possible without wheels onto cases with wheels.
If going up / down stairs assess the weight and size of case and ask for help if needed.
Ensure there is a clear pathway
All vehicles have ramps or tail lift where possible for easy load and unload.
Yearly manual handling training mandatory for all staff/volunteers/members and offered to contractors.
Proactively managed by project manager / lead tech",1,2,2,L
"Cables:
Trailing cables

Cuts to cables exposing live ends
Cuts to cables exposing sharp or dangerous cores
Cables coming into contact with liquids

Hanging cables","Slips trips and falls on level surface
electric shock
fires
Electrocution
Serious injury strangulation
Minor injury
Eye damage (invisible light)","S, E, C, Y, O, V",3,4,12,"Use approved and competent staff/volunteers/members and / or contractors
Cables are not to trail across aisles. Liaise with venue to ensure that sufficient power outlets are supplied
Cable ramping used for all floor cabling which crosses a walk way where cables cannot be run under the floor. No cable to be run directly under carpet.
Any cables that cannot be laid under the floor to be approved beforehand with the organisers or client if possible. If not possible they need to be agreed onsite with the organisers or client.
All overhead cables to be securely fastened
Take care not to look into cables in case they are live.
Keep work area clean, use appropriate vessels to catch any offcuts and use appropriate PPE when cutting cables.
Proactively managed by project manager / lead",1,4,4,L
